,Table Name ,DataSource,Server
33,LocalDateTable_c781804e-7838-4d41-9620-cb906949f274,"Calendar(Date(Year(MIN('CustomerOrders_View'[ProjectedDateCO])),1,1),Date(Year(MAX('CustomerOrders_View'[ProjectedDateCO])),12,31)",Date(Year(MIN('CustomerOrders_View'[ProjectedDateCO]))
34,LocalDateTable_447140a2-e6fe-42db-9a07-ab338cdf5b57,"Calendar(Date(Year(MIN('CustomerOrders_View'[CurrentDate])),1,1),Date(Year(MAX('CustomerOrders_View'[CurrentDate])),12,31)",Date(Year(MIN('CustomerOrders_View'[CurrentDate]))
35,LocalDateTable_7cf0a383-ef54-4e25-a4e3-25e48db2ea2b,"Calendar(Date(Year(MIN('CustomerOrders_View'[CreditHoldDateCO])),1,1),Date(Year(MAX('CustomerOrders_View'[CreditHoldDateCO])),12,31)",Date(Year(MIN('CustomerOrders_View'[CreditHoldDateCO]))
36,UC2UC3Dimension (Trim),PowerPlatform,null)
37,EndUserDimension,PowerPlatform,null)
38,LocalDateTable_ab6d10fa-2618-4877-aa8b-09457b95d182,"Calendar(Date(Year(MIN('EndUserDimension'[RecordDate])),1,1),Date(Year(MAX('EndUserDimension'[RecordDate])),12,31)",Date(Year(MIN('EndUserDimension'[RecordDate]))
39,Ship Code Table,Table,"Json.Document(Binary.Decompress(Binary.FromText(""hVRRj9owDP4rFk+b1KvYJu09JKbkKEnkpLQduwe23U5oEiC40+7nzwnoIB3THuLY/j65tht7tRp9IjUqogQnKPSsj/mY0UOxGolSlWyIElSjEVxfY4ZPxJT1CaEJrbUKBJEwFSqYEupqFnKywjpjs62XSPknJ0is+/3jj83zZreFyeNhvc0ZPsY9yStvG53oQyvygPLry3j88XNM9Eq9wlMNsvHBLpDeSmDfBz79mUP/5+gUx/oA2viGyptNkLZOrLpGOUQ8643zIK3xujKY91q65joHp+UcGpenkOyMMmAoEe2TvIRWKnmVg4C0GEBNgpob0FTFjOMF9e5pc3zefD/CsTyUuzIjYpv+MXZ3LZDoralyuIvg6+/d4dexgMX68LzZHr+9HJ4KaJfQeDFgtylWa2nuhwhdICBVFfykM8pURptlATNLdqklFiC/5Jz0X1kiiRqwc4TeDxmYU8BgF0CJHoSmnGsnkUqIYA1MrOA5e+cshfc5rZueI3Y3n02FOuYQr2G+9/FB3e/2+/XlL2SEuTVxhhWwwgXPM9DpEMvlK4CdaXuzYJfayH4nNA+54aNUzjhthn8uCrIxwuvPfe7tUxi+MO9a4HbGLcBdMzZgnk14w860C9Q4e5qhO8uLxfzVRkbOM1aRbUxeQyvSJowXBGrkXA8eapeis4TaVtoHLfPE+rTfWNa2zQGSEUjy7H34Aw=="""
40,SalespersonDimension (Corp),PowerPlatform,null)
41,LocalDateTable_3c4f6c2a-2266-4f16-b524-7d465fb4786f,"Calendar(Date(Year(MIN('CustomerOrders_View'[RecordDate])),1,1),Date(Year(MAX('CustomerOrders_View'[RecordDate])),12,31)",Date(Year(MIN('CustomerOrders_View'[RecordDate]))
42,Invoice Items,PowerPlatform,null)
43,LocalDateTable_89a4c72f-69f1-4d57-a504-377e820f2863,Calendar(Date(Year(MIN('InvoiceItems'[inv_item,Date(Year(MIN('InvoiceItems'[inv_item.tax_date]))
44,LocalDateTable_c6745642-bf82-4870-9850-b4f73203ac18,Calendar(Date(Year(MIN('InvoiceItems'[do_seq,Date(Year(MIN('InvoiceItems'[do_seq.ship_date]))
45,LocalDateTable_30383347-b1de-4850-8b8b-bc36f7867337,Calendar(Date(Year(MIN('InvoiceItems'[custUSD,Date(Year(MIN('InvoiceItems'[custUSD.currRateAsOfDate]))
46,Chart of Accounts Mapping,PowerPlatform,null)
47,LocalDateTable_faacc9cc-908a-48b8-88e3-39e1bb9c78de,"Calendar(Date(Year(MIN('ItemDimension'[uf_VatNotNo])),1,1),Date(Year(MAX('ItemDimension'[uf_VatNotNo])),12,31)",Date(Year(MIN('ItemDimension'[uf_VatNotNo]))
48,CT Regions,SharePoint,"""https://brentwoodindustries.sharepoint.com/sites/Finance-DW"""
49,CT Region Key,Table,"Json.Document(Binary.Decompress(Binary.FromText(""i45Wcg4xNFCK1QExjGAMYxjDBMiIBQA="""
50,Germany Backlog,SharePoint,"""https://brentwoodindustries.sharepoint.com/sites/Finance-DW"""
51,LocalDateTable_7f04b04a-7929-43ae-983d-db13d01c27f7,"Calendar(Date(Year(MIN('GermanyBacklog'[BacklogChangeDate])),1,1),Date(Year(MAX('GermanyBacklog'[BacklogChangeDate])),12,31)",Date(Year(MIN('GermanyBacklog'[BacklogChangeDate]))
52,BW_SalesBudgetItemByMonth,PowerPlatform,null)
53,Daily Targets,List,List.Min(BW_SalesBudgetItemByMonth[PeriodDate])
54,brentwood_daily_calendar (2),Databricks,"""adb-7934447987890827.7.azuredatabricks.net"""
55,LocalDateTable_b4ee1073-c193-4843-9b2f-7fa3c85ea0c0,"Calendar(Date(Year(MIN('brentwood_daily_calendar(2)'[Date])),1,1),Date(Year(MAX('brentwood_daily_calendar(2)'[Date])),12,31)",Date(Year(MIN('brentwood_daily_calendar(2)'[Date]))
56,LocalDateTable_ba7bb401-fd36-4b26-a3af-fc3e10bdd21f,"Calendar(Date(Year(MIN('brentwood_daily_calendar(2)'[StartOfMonth])),1,1),Date(Year(MAX('brentwood_daily_calendar(2)'[StartOfMonth])),12,31)",Date(Year(MIN('brentwood_daily_calendar(2)'[StartOfMonth]))
57,LocalDateTable_f8c4c008-3529-4a25-97c1-cb8e602b2e27,"Calendar(Date(Year(MIN('brentwood_daily_calendar(2)'[EndOfMonth])),1,1),Date(Year(MAX('brentwood_daily_calendar(2)'[EndOfMonth])),12,31)",Date(Year(MIN('brentwood_daily_calendar(2)'[EndOfMonth]))
58,LocalDateTable_dc7b838b-4ddc-4abb-ac03-f3c23c21c39a,"Calendar(Date(Year(MIN('brentwood_daily_calendar(2)'[Today])),1,1),Date(Year(MAX('brentwood_daily_calendar(2)'[Today])),12,31)",Date(Year(MIN('brentwood_daily_calendar(2)'[Today]))
59,LocalDateTable_96627c8e-503c-4f8a-813c-ed942f24dda4,Calendar(Date(Year(MIN('DailyTargets'[BW_SalesBudgetItemByMonth2,Date(Year(MIN('DailyTargets'[BW_SalesBudgetItemByMonth2.PeriodDate]))
60,Currency_Active_Rate (Latest),PowerPlatform,null)
61,LocalDateTable_7172ff5b-5b7b-413f-a873-7f1b2548ab6b,"Calendar(Date(Year(MIN('Currency_Active_Rate(Latest)'[Date(YYYY/MM)])),1,1),Date(Year(MAX('Currency_Active_Rate(Latest)'[Date(YYYY/MM)])),12,31)",Date(Year(MIN('Currency_Active_Rate(Latest)'[Date(YYYY/MM)]))
62,Table,Table,"Json.Document(Binary.Decompress(Binary.FromText(""i44FAA=="""
63,Sales Groupings,Table,"Json.Document(Binary.Decompress(Binary.FromText(""i45WCjZU0lFyDXZXitUBcoyQOcbIHBMgJ7gkvyhXITyxJLUIImiKrMIMiRMOMtU5Pz8nMy9dISS/HKohHGQ+WL+Ce1F+aQFE0BibIMg+38TiYoWQosS84jSoAeamBkDxEIjB+v4lGTBxAyzisQA="""
64,bookings,Databricks,"""adb-7934447987890827.7.azuredatabricks.net"""
65,LocalDateTable_1b9d61d1-3fd5-4e88-8211-5fb5c153f609,"Calendar(Date(Year(MIN('bookings'[CurrentDate])),1,1),Date(Year(MAX('bookings'[CurrentDate])),12,31)",Date(Year(MIN('bookings'[CurrentDate]))
66,LocalDateTable_ba2e6f58-9e0d-4cfe-b901-681ecb043986,"Calendar(Date(Year(MIN('bookings'[BookingDate])),1,1),Date(Year(MAX('bookings'[BookingDate])),12,31)",Date(Year(MIN('bookings'[BookingDate]))
67,LocalDateTable_e0de9f9c-4ca9-462e-b754-be83cf0f8e49,"Calendar(Date(Year(MIN('bookings'[LoadDate])),1,1),Date(Year(MAX('bookings'[LoadDate])),12,31)",Date(Year(MIN('bookings'[LoadDate]))
